cliente_id,idade,gasto_anual_mil_reais,cluster
1,28.2,74.7,0
2,39.7,54.13,1
3,24.4,16.34,3
4,48.8,78.71,2
5,45.2,33.8,1
6,52.0,82.64,2
7,26.8,69.38,0
8,30.2,64.97,0
9,41.1,54.09,1
10,22.7,15.74,3
11,32.3,80.02,0
12,20.6,72.72,0
13,20.9,9.22,3
14,46.5,40.97,1
15,24.0,83.26,0
16,25.1,12.55,3
17,43.9,49.48,1
18,54.2,100.35,2
19,23.9,9.47,3
20,44.6,31.26,1
21,23.9,14.65,3
22,40.1,39.66,1
23,47.2,25.96,1
24,46.2,37.86,1
25,49.6,47.12,1
26,23.9,82.45,0
27,24.6,55.6,0
28,47.0,103.89,2
29,37.1,48.05,1
30,26.9,69.7,0
31,33.0,71.96,0
32,26.5,65.17,0
33,21.2,12.15,3
34,23.4,66.43,0
35,58.1,46.08,1
36,28.1,84.29,0
37,22.0,17.43,3
38,22.6,63.14,0
39,22.9,14.05,3
40,56.0,86.65,2
41,24.8,73.94,0
42,55.0,101.69,2
43,25.7,14.09,3
44,43.7,30.93,1
45,42.5,47.26,1
46,53.1,102.03,2
47,24.2,10.2,3
48,57.3,81.72,2
49,40.0,44.18,1
50,31.4,73.47,0
51,51.4,92.83,2
52,46.3,95.45,2
53,29.5,68.84,0
54,27.4,76.3,0
55,24.8,15.99,3
56,29.9,82.7,0
57,19.9,13.23,3
58,24.2,16.5,3
59,58.4,86.11,2
60,55.3,109.44,2
61,43.9,47.48,1
62,21.0,13.61,3
63,27.5,66.77,0
64,25.8,85.79,0
65,50.9,87.87,2
66,52.8,84.5,2
67,23.2,14.57,3
68,23.9,12.49,3
69,22.5,13.18,3
70,55.3,77.69,2
71,20.7,12.31,3
72,43.8,40.67,1
73,37.1,35.96,1
74,52.1,42.23,1
75,23.0,15.92,3
76,31.1,80.85,0
77,23.2,66.17,0
78,50.4,73.34,2
79,19.9,16.76,3
80,39.2,34.63,1
81,19.8,20.41,3
82,51.5,84.01,2
83,21.7,8.71,3
84,28.3,67.27,0
85,45.6,95.26,2
86,54.8,92.62,2
87,23.6,14.95,3
88,50.2,95.85,2
89,42.9,27.56,1
90,26.5,79.33,0
91,25.8,71.61,0
92,37.1,44.13,1
93,52.6,93.44,2
94,55.0,93.67,2
95,23.9,61.39,0
96,38.8,33.75,1
97,50.4,50.09,1
98,61.3,86.55,2
99,40.0,53.31,1
100,19.9,10.01,3
101,43.9,44.58,1
102,31.7,54.82,0
103,43.3,43.89,1
104,57.2,94.96,2
105,43.9,47.8,1
106,22.2,7.09,3
107,40.6,45.07,1
108,18.7,17.17,3
109,19.6,14.63,3
110,23.3,81.65,0
111,33.4,73.41,0
112,53.8,101.61,2
113,46.6,41.53,1
114,29.8,92.14,0
115,49.2,42.5,1
116,52.4,90.3,2
117,29.5,72.72,0
118,53.8,110.69,2
119,54.4,34.9,1
120,25.5,70.76,0
121,25.2,65.25,0
122,27.7,68.71,0
123,29.5,75.43,0
124,23.3,12.12,3
125,52.8,54.21,1
126,23.4,19.2,3
127,24.3,73.83,0
128,18.4,11.62,3
129,57.4,115.38,2
130,42.8,90.82,2
131,27.5,70.7,0
132,41.8,52.58,1
133,23.1,15.79,3
134,35.7,70.69,0
135,46.5,45.07,1
136,23.6,10.38,3
137,44.4,48.93,1
138,20.8,14.29,3
139,22.6,16.95,3
140,44.5,52.33,1
141,23.7,17.36,3
142,45.6,88.91,2
143,24.4,13.04,3
144,21.2,8.22,3
145,21.5,15.83,3
146,54.6,41.57,1
147,46.1,95.13,2
148,51.5,89.36,2
149,41.6,37.3,1
150,27.9,77.15,0
151,51.7,92.06,2
152,28.2,87.01,0
153,48.7,107.49,2
154,22.2,10.32,3
155,22.9,12.29,3
156,22.6,12.64,3
157,33.5,47.7,1
158,27.9,67.76,0
159,20.3,11.35,3
160,45.7,31.0,1
161,55.4,75.52,2
162,43.3,50.24,1
163,52.8,88.95,2
164,49.2,91.77,2
165,26.3,83.69,0
166,27.4,16.66,3
167,49.0,99.23,2
168,20.0,13.68,3
169,45.7,47.93,1
170,44.0,82.37,2
171,46.7,33.48,1
172,50.1,109.56,2
173,38.4,39.7,1
174,56.4,101.57,2
175,47.0,44.9,1
176,24.1,70.21,0
177,45.0,38.37,1
178,42.7,88.34,2
179,50.9,97.57,2
180,54.1,81.94,2
181,27.5,73.76,0
182,24.8,8.21,3
183,24.2,8.9,3
184,46.8,83.34,2
185,22.9,70.56,0
186,49.3,89.44,2
187,52.9,84.39,2
188,25.5,68.13,0
189,46.2,46.26,1
190,26.6,63.5,0
191,47.1,54.74,1
192,19.4,12.66,3
193,51.3,94.83,2
194,27.8,77.15,0
195,44.0,101.95,2
196,26.6,62.25,0
197,43.3,37.12,1
198,18.0,16.84,3
199,19.9,15.6,3
200,54.1,89.02,2
201,23.5,7.25,3
202,55.4,90.82,2
203,55.4,95.54,2
204,25.6,74.52,0
205,53.5,84.46,2
206,47.8,78.68,2
207,44.6,37.11,1
208,21.3,14.93,3
209,24.2,85.21,0
210,57.3,96.27,2
211,22.3,10.27,3
212,52.8,79.56,2
213,21.9,12.76,3
214,22.3,12.61,3
215,20.4,11.88,3
216,24.0,64.84,0
217,22.8,7.27,3
218,51.6,38.0,1
219,48.5,39.92,1
220,53.3,51.1,1
221,46.3,43.64,1
222,25.1,61.05,0
223,45.2,46.14,1
224,47.0,42.47,1
225,54.1,95.0,2
226,20.3,12.57,3
227,25.0,60.29,0
228,27.5,69.33,0
229,28.9,68.93,0
230,21.6,12.47,3
231,46.0,50.2,1
232,57.9,88.78,2
233,22.0,72.25,0
234,24.5,63.32,0
235,46.4,46.46,1
236,52.2,95.14,2
237,23.4,62.2,0
238,21.1,15.95,3
239,51.2,87.19,2
240,45.8,43.63,1
